timestamp,open,high,low,close,volume
2021-08-11,141.7800,142.7685,141.5000,142.1300,4259060
2021-08-10,141.2100,141.8110,140.3400,141.3800,5299869
2021-08-09,142.2000,142.4950,140.9700,141.2500,4904065
2021-08-06,143.0000,144.3900,142.8900,144.0900,3826835
2021-08-05,143.0300,143.4100,142.2200,142.7700,2757389
2021-08-04,143.8000,144.1800,142.4700,142.7600,2830079
2021-08-03,141.9000,144.7000,141.6500,144.0700,4084724
2021-08-02,141.4500,143.0600,141.0300,141.4200,2929540
2021-07-30,141.5200,141.8500,140.7900,140.9600,3535555
2021-07-29,142.3300,142.9600,141.6000,141.9300,2657669
2021-07-28,143.0100,143.1000,141.6400,141.7700,2544099
2021-07-27,142.5300,143.6400,141.6000,142.7500,3137027
2021-07-26,141.3900,143.0000,141.1300,142.7700,4246266
2021-07-23,140.9600,141.7000,140.3300,141.3400,4474157
2021-07-22,141.6600,141.8100,140.4100,140.7100,3314153
2021-07-21,139.9700,141.3900,139.6500,141.3000,4803977
2021-07-20,143.0000,144.9200,138.7000,139.9700,13611675
2021-07-19,136.4500,138.4900,136.2089,137.9200,8582302
2021-07-16,141.0000,141.0000,138.5900,138.9000,4109308
2021-07-15,139.3200,140.4600,138.8005,140.4500,3639698
2021-07-14,140.7200,140.7500,138.9273,139.8200,4403752
2021-07-13,140.9200,140.9200,139.6300,140.2800,3164294
2021-07-12,141.4300,141.9599,140.1150,140.9200,3342627
2021-07-09,141.4500,141.9800,140.8410,141.5200,3904059
2021-07-08,137.7800,141.3100,137.6600,140.7400,5487425
2021-07-07,138.7600,140.3300,138.7600,139.8200,4059667
2021-07-06,139.9900,140.4200,137.1000,138.7800,8093747
2021-07-02,146.9100,146.9500,139.4600,140.0200,16828161
2021-07-01,146.9600,147.5000,146.5700,146.8400,2686289
2021-06-30,145.1300,146.9300,144.7100,146.5900,3245091
2021-06-29,145.2600,146.7400,145.1000,145.5500,2428626
2021-06-28,147.0100,147.3000,144.9121,145.2900,3888869
2021-06-25,145.3800,146.9300,144.9450,146.8400,3594218
2021-06-24,145.8000,146.1900,144.6900,145.4400,3609679
2021-06-23,146.4300,146.5000,144.5700,144.6100,3202644
